AGE,CREDIT_CARD,CURR_BAL,LOAN_STATUS
35,1,19349.8,1
38,0,8541.136667,0
36,0,354.2766667,0
41,0,35351.6,0
36,0,16580.35,0
34,0,25039.896,0
29,0,44852.31667,0
36,0,19501.32667,0
50,0,4208.316667,0
41,0,11968.98833,0
35,0,18911.04,0
35,0,10775.02833,0
36,0,15211.67833,0
34,0,535.1066667,0
31,0,754.065,0
32,0,3478.576667,0
32,1,3478.576667,1
31,0,9102.684,0
31,0,10860.38167,0
30,0,8811.05,0
48,0,12389.49333,0
33,0,24052.63833,0
28,0,6517.981667,0
41,0,31329.44833,0
38,0,13847.298,0
44,0,3973.481667,0
47,0,1526.27,0
41,0,28073.29,0
46,0,21199.662,0
36,0,30945.145,0
29,0,1257.615,0
38,0,12946.30833,0
39,0,5571.346667,0
37,0,18056.03,0
35,0,37025.18,0
42,0,3198.461667,0
39,0,15428.185,0
42,0,14723.865,0
36,0,34180.96,0
30,0,4968.443333,0
51,0,8150.354,0
47,0,64183.9,0
49,0,5079.636667,0
42,1,1296.036667,0
35,0,7913.01,0
42,0,16849.34833,0
36,0,119.295,0
32,0,35215.21,0
32,0,1852.515,0
28,0,10873.755,0
39,0,17602.61,0
33,0,1957.241667,0
44,0,4568.61,0
47,0,15714.28,0
47,1,15714.28,1
41,0,70.71333333,0
45,0,21183.67833,0
46,0,872.1166667,0
49,0,8261.49,0
40,0,10161.22167,0
38,0,5045.893333,0
40,0,43080.77,0
47,0,13498.62667,0
49,0,1605.591667,0
38,0,31200.40833,0
31,0,22036.53333,0
30,0,8461.441667,0
49,0,6817.265,0
36,0,16685.142,0
39,0,2366.305,0
39,0,22726.95,0
39,0,2534,0
34,0,1853.075,0
33,0,2017.426667,0
29,0,11645.68833,0
29,0,9781.001667,0
40,0,36995.60333,0
45,0,26283.91,0
48,0,14178.46667,0
47,0,2523.256667,0
47,0,14280.53167,0
48,0,1714.445,0
35,0,8507.433333,0
31,0,13548.32167,0
31,0,8242.541667,0
32,0,16118.05,0
34,0,445.0633333,0
30,0,22866.12333,0
41,0,4758.828,0
33,0,1392.766667,0
38,0,2475.668,0
37,0,2986.496667,0
33,0,3954.656667,0
32,0,5732.44,0
41,0,29916.605,0
41,0,15121.63,0
32,0,16411.42833,0
34,0,28615.445,0
34,0,4123.938333,0
44,0,4782.484,0
50,0,3879.64,0
36,0,11779.29833,0
33,0,3399.501667,0
34,0,16303.22167,0
33,0,18200.97,0
37,0,1857.548333,0
50,0,7769.188333,0
38,0,1465.851667,0
38,0,3185.814,0
32,0,5400.013333,0
49,0,30468.91,0
28,0,12331.12333,0
51,0,35513.935,0
37,0,21585.75,0
38,0,17802.665,0
34,0,4600.343333,0
48,0,6285.866667,0
41,0,9423.043333,0
41,0,21144.964,0
42,0,8010.503333,0
41,0,33336.52,0
37,0,2333.248333,0
43,0,26429.454,0
28,0,10487.20667,0
50,0,7156.438333,0
36,0,29596.43167,0
39,0,42229.9775,0
41,0,11034.03,0
33,0,42.82666667,0
44,0,3675.07,0
32,0,3712.251667,0
30,0,6915.936667,0
40,0,31404.33,0
36,0,10126.90667,0
41,0,21264.68333,0
37,0,8335.64,0
39,0,861.06,0
35,0,3568.546667,0
31,1,11750.875,1
39,0,21562.04333,0
38,0,6357.59,0
32,0,33710.868,0
32,0,40364.0975,0
25,0,8946.5,0
28,0,5537.218,0
48,0,3248.983333,0
41,0,12911.83833,0
38,0,2879.328,0
34,0,4504.551667,0
31,0,22240.124,0
38,0,11937.89333,0
31,0,4742.526667,0
31,0,1176.736,0
28,0,11.42666667,0
38,0,7662.656667,0
35,0,4097.8075,0
47,0,18826.51,0
49,0,12098.37167,0
39,0,23222.40833,0
51,0,29937.435,0
35,0,5296.241667,0
40,0,9430.855,0
35,0,10836.405,0
33,0,5274.935,0
49,0,23890.87667,0
50,0,13670.68,0
42,0,54532.84333,0
35,0,3921.488333,0
42,0,28535.32,0
